Judging 70 attempts from ../work/e2c2/eval_20260919T190325Z.json with cli:claude-fable-5-1 (contract version 2; source 73cc31162c3dfe7ec497c8c88c43cf397afce4a7, generator deepseek-flash, run local)
  baseline ASML 6-K run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16576, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline COST 10-Q run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 18055, 'excerpt_chars': 68765, 'xbrl_chars': 13908}
  baseline WMT 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 32699, 'excerpt_chars': 170233, 'xbrl_chars': 18011}
  baseline COST 10-Q run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 19810, 'excerpt_chars': 68765, 'xbrl_chars': 13908}
  baseline BA 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 20179, 'excerpt_chars': 170233, 'xbrl_chars': 17666}
  baseline BA 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 3, 'specificity': 5} lengths={'summary_chars': 23708, 'excerpt_chars': 170233, 'xbrl_chars': 17666}
  baseline INTC 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 24560, 'excerpt_chars': 181072, 'xbrl_chars': 19591}
  baseline INTC 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25997, 'excerpt_chars': 181072, 'xbrl_chars': 19591}
  baseline PLTR 10-Q run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 3, 'specificity': 5} lengths={'summary_chars': 19263, 'excerpt_chars': 116850, 'xbrl_chars': 18525}
  baseline PLTR 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 20437, 'excerpt_chars': 116850, 'xbrl_chars': 18525}
  baseline RIVN 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 24780, 'excerpt_chars': 129484, 'xbrl_chars': 17764}
  baseline RIVN 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 26295, 'excerpt_chars': 129484, 'xbrl_chars': 17764}
  baseline COIN 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16776, 'excerpt_chars': 91192, 'xbrl_chars': 18596}
  baseline COIN 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 19889, 'excerpt_chars': 91192, 'xbrl_chars': 18596}
  baseline BYND 10-Q run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 32912, 'excerpt_chars': 177945, 'xbrl_chars': 19088}
  baseline BYND 10-Q run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 29544, 'excerpt_chars': 177945, 'xbrl_chars': 19088}
  baseline BABA 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25917, 'excerpt_chars': 231089, 'xbrl_chars': 15425}
  baseline BABA 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 26436, 'excerpt_chars': 231089, 'xbrl_chars': 15425}
  baseline ASML 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21549, 'excerpt_chars': 260154, 'xbrl_chars': 19704}
  baseline ASML 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 19635, 'excerpt_chars': 260154, 'xbrl_chars': 19704}
  baseline TSM 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18858, 'excerpt_chars': 217082, 'xbrl_chars': 17302}
  baseline TSM 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 17122, 'excerpt_chars': 217082, 'xbrl_chars': 17302}
  baseline JD 20-F run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 30654, 'excerpt_chars': 230528, 'xbrl_chars': 18662}
  baseline JD 20-F run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 20730, 'excerpt_chars': 230528, 'xbrl_chars': 18662}
  baseline SE 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16354, 'excerpt_chars': 123016, 'xbrl_chars': 17314}
  baseline SE 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16984, 'excerpt_chars': 123016, 'xbrl_chars': 17314}
  baseline NVO 20-F run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 23287, 'excerpt_chars': 40972, 'xbrl_chars': 16589}
  baseline NVO 20-F run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 24774, 'excerpt_chars': 40972, 'xbrl_chars': 16589}
  baseline PDD 20-F run 0: FAIL dims={'faithfulness': 2, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 30542, 'excerpt_chars': 226630, 'xbrl_chars': 14480}
  baseline PDD 20-F run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21311, 'excerpt_chars': 226630, 'xbrl_chars': 14480}
  baseline MELI 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 31236, 'excerpt_chars': 250076, 'xbrl_chars': 17880}
  baseline MELI 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 32008, 'excerpt_chars': 250076, 'xbrl_chars': 17880}
Judged 70/70 judgeable attempts (70 total); negative 42; gates {'G2 fabricated_comparatives': 2, 'G3 hallucinated_facts': 12, 'G4 unsupported_cause': 25, 'G5 basis_mismatch': 24}
Outputs: ../work/judged-e2c2
judge exit=0
