Judging 70 attempts from ../work/e2/eval_20260919T184629Z.json with cli:claude-fable-5-1 (contract version 2; source e1b52bafb18c4d1cb69f489ccbdfd8ebd7407deb, generator deepseek-flash, run local)
  baseline ASML 6-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16219, 'excerpt_chars': 12957, 'xbrl_chars': 0}
  baseline AAPL 10-K run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21459, 'excerpt_chars': 124125, 'xbrl_chars': 20647}
  baseline MSFT 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 17792, 'excerpt_chars': 164767, 'xbrl_chars': 20307}
  baseline MSFT 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18064, 'excerpt_chars': 164767, 'xbrl_chars': 20307}
  baseline NVDA 10-Q run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 23335, 'excerpt_chars': 102206, 'xbrl_chars': 22500}
  baseline NVDA 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 4, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 23417, 'excerpt_chars': 102206, 'xbrl_chars': 22500}
  baseline JPM 10-K run 1: FAIL dims={'faithfulness': 2, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 20679, 'excerpt_chars': 170233, 'xbrl_chars': 14309}
  baseline JPM 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 20029, 'excerpt_chars': 170233, 'xbrl_chars': 14309}
  baseline KO 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25634, 'excerpt_chars': 95851, 'xbrl_chars': 20212}
  baseline KO 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 26322, 'excerpt_chars': 95851, 'xbrl_chars': 20212}
  baseline TSLA 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 27183, 'excerpt_chars': 170233, 'xbrl_chars': 17417}
  baseline TSLA 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 26595, 'excerpt_chars': 170233, 'xbrl_chars': 17417}
  baseline AMZN 10-K run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 3, 'specificity': 5} lengths={'summary_chars': 31061, 'excerpt_chars': 161529, 'xbrl_chars': 17363}
  baseline AMZN 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 27268, 'excerpt_chars': 161529, 'xbrl_chars': 17363}
  baseline BRK.B 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 22295, 'excerpt_chars': 147121, 'xbrl_chars': 11145}
  baseline BRK.B 10-K run 1: FAIL dims={'faithfulness': 2, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 25985, 'excerpt_chars': 147121, 'xbrl_chars': 11145}
  baseline XOM 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 16771, 'excerpt_chars': 160904, 'xbrl_chars': 15261}
  baseline PFE 10-Q run 0: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 18451, 'excerpt_chars': 181166, 'xbrl_chars': 17423}
  baseline XOM 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 14016, 'excerpt_chars': 160904, 'xbrl_chars': 15261}
  baseline PFE 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 20421, 'excerpt_chars': 181166, 'xbrl_chars': 17423}
  baseline F 10-Q run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 24837, 'excerpt_chars': 98293, 'xbrl_chars': 18604}
  baseline F 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 26880, 'excerpt_chars': 98293, 'xbrl_chars': 18604}
  baseline WMT 10-K run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 26281, 'excerpt_chars': 170233, 'xbrl_chars': 18011}
  baseline COST 10-Q run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 16888, 'excerpt_chars': 68765, 'xbrl_chars': 13908}
  baseline WMT 10-K run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 28536, 'excerpt_chars': 170233, 'xbrl_chars': 18011}
  baseline COST 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 19054, 'excerpt_chars': 68765, 'xbrl_chars': 13908}
  baseline BA 10-K run 0: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 5} lengths={'summary_chars': 23944, 'excerpt_chars': 170233, 'xbrl_chars': 17666}
  baseline BA 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 22771, 'excerpt_chars': 170233, 'xbrl_chars': 17666}
  baseline INTC 10-Q run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 26920, 'excerpt_chars': 181072, 'xbrl_chars': 19591}
  baseline INTC 10-Q run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 25781, 'excerpt_chars': 181072, 'xbrl_chars': 19591}
  baseline PLTR 10-Q run 0: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 17817, 'excerpt_chars': 116850, 'xbrl_chars': 18525}
  baseline PLTR 10-Q run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 20450, 'excerpt_chars': 116850, 'xbrl_chars': 18525}
  baseline RIVN 10-K run 0: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 27311, 'excerpt_chars': 129484, 'xbrl_chars': 17764}
  baseline RIVN 10-K run 1: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 24163, 'excerpt_chars': 129484, 'xbrl_chars': 17764}
  baseline COIN 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21000, 'excerpt_chars': 91192, 'xbrl_chars': 18596}
  baseline COIN 10-Q run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 19353, 'excerpt_chars': 91192, 'xbrl_chars': 18596}
  baseline BYND 10-Q run 0: FAIL dims={'faithfulness': 3, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 29634, 'excerpt_chars': 177945, 'xbrl_chars': 19088}
  baseline BYND 10-Q run 1: FAIL dims={'faithfulness': 2, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25856, 'excerpt_chars': 177945, 'xbrl_chars': 19088}
  baseline BABA 20-F run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25731, 'excerpt_chars': 231089, 'xbrl_chars': 15425}
  baseline BABA 20-F run 1: PASS dims={'faithfulness': 5, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 27831, 'excerpt_chars': 231089, 'xbrl_chars': 15425}
  baseline ASML 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21432, 'excerpt_chars': 260154, 'xbrl_chars': 19704}
  baseline ASML 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 21192, 'excerpt_chars': 260154, 'xbrl_chars': 19704}
  baseline TSM 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 18196, 'excerpt_chars': 217082, 'xbrl_chars': 17302}
  baseline TSM 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 20734, 'excerpt_chars': 217082, 'xbrl_chars': 17302}
  baseline JD 20-F run 0: PASS dims={'faithfulness': 4, 'insight': 4, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 25850, 'excerpt_chars': 230528, 'xbrl_chars': 18662}
  baseline JD 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 27119, 'excerpt_chars': 230528, 'xbrl_chars': 18662}
  baseline SE 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 21085, 'excerpt_chars': 123016, 'xbrl_chars': 17314}
  baseline NVO 20-F run 0: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 19635, 'excerpt_chars': 40972, 'xbrl_chars': 16589}
  baseline SE 20-F run 1: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 17374, 'excerpt_chars': 123016, 'xbrl_chars': 17314}
  baseline NVO 20-F run 1: PASS dims={'faithfulness': 5, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 19302, 'excerpt_chars': 40972, 'xbrl_chars': 16589}
  baseline PDD 20-F run 0: FAIL dims={'faithfulness': 3, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 21324, 'excerpt_chars': 226630, 'xbrl_chars': 14480}
  baseline PDD 20-F run 1: FAIL dims={'faithfulness': 2, 'insight': 3, 'clarity': 4, 'specificity': 4} lengths={'summary_chars': 20530, 'excerpt_chars': 226630, 'xbrl_chars': 14480}
  baseline MELI 10-K run 0: PASS dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 29848, 'excerpt_chars': 250076, 'xbrl_chars': 17880}
  baseline MELI 10-K run 1: FAIL dims={'faithfulness': 4, 'insight': 3, 'clarity': 3, 'specificity': 4} lengths={'summary_chars': 32610, 'excerpt_chars': 250076, 'xbrl_chars': 17880}
Judged 70/70 judgeable attempts (70 total); negative 38; gates {'G2 fabricated_comparatives': 2, 'G3 hallucinated_facts': 14, 'G4 unsupported_cause': 23, 'G5 basis_mismatch': 22}
Outputs: ../work/judged-e2
judge exit=0
